Obsdate		flux	flux_ler	BKG	BAND
 52328.761       2.42      5.69     17.65  2 
 52331.782      -2.97      4.67     17.69  1 
 52335.961      -9.27      5.45     18.39  2 
 52339.974      -3.72      4.70     17.20  1 
 52343.166       7.13      5.71     17.76  2 
 52345.986      -0.82      7.39     18.26  1 
 52351.024      -3.35      5.82     17.87  2 
 52353.976      -3.19      4.61     17.60  1 
 52357.956      -4.72      4.25     17.03  2 
 52360.908       0.07      4.76     17.47  1 
 52363.897      -1.68      5.44     17.59  2 
 52367.641      -3.65      4.75     17.36  1 
 52384.355      -3.70      5.46     17.51  2 
 52387.309      -2.30      4.83     16.93  1 
 52390.365      -1.03      5.66     17.57  2 
 52393.845      28.11      5.60     17.08  1 
 52398.089       1.52      5.73     17.68  2 
 52402.029      -4.36      4.46     17.43  1 
 52405.016      -1.73      5.89     17.37  2 
 52411.877       0.62      5.60     17.47  2 
 52414.827      -0.05      5.27     17.13  1 
 52422.413      -3.22      4.78     16.98  1 
 52426.584      -8.59      5.11     17.49  2 
 52430.525      -0.44      4.80     17.33  1 
 52455.877       6.67      4.51     16.84  2 
 52462.734      -5.02      4.13     16.94  2 
 52465.684       0.34      3.76     17.07  1 
 52468.602      -0.20      5.49     17.46  2 
 52472.542      -3.68      4.95     17.24  1 
 52476.382      -0.15      4.37     17.02  2 
 52479.333      -5.76      3.47     16.81  1 
 52486.455       3.71      4.66     17.03  1 
 52490.099      -2.95      5.88     17.24  2 
 52493.446      -4.55      4.60     17.42  1 
 52496.632      -5.38      5.76     17.56  2 
 52500.571      -2.77      4.41     16.92  1 
 52504.677     -13.56      6.22     17.05  2 
 52507.692      -3.58      4.48     17.16  1 
 52510.610      -0.81      6.07     17.12  2 
 52513.426      -1.19      3.41     16.83  1 
 52516.345      -0.10      4.31     16.64  2 
 52520.283       2.45      3.64     16.84  1 
 52528.125      -4.93      4.56     17.22  1 
 52532.293       2.99      5.86     17.33  2 
 52535.902       5.96      4.49     16.85  1 
 52539.279       2.07      5.86     17.02  2 
 52542.823      -2.14      4.68     17.17  1 
 52546.469      -2.89      5.67     17.10  2 
 52549.417      -6.21      4.44     16.94  1 
 52552.600      -9.87      5.67     16.95  2 
 52556.535      -4.99      4.34     16.97  1 
 52560.375      -6.04      5.73     17.00  2 
 52575.129       0.13      4.36     16.68  2 
 52578.208      -0.27      4.89     17.14  1 
 52677.822       3.77      4.09     16.66  1 
 52680.800       5.47      4.32     16.66  2 
 52683.612      -5.05      4.76     17.00  1 
 52686.721      -0.54      5.79     16.47  2 
 52689.796       0.19      4.67     17.18  1 
 52692.643      -3.98      4.47     16.33  2 
 52695.391      -2.74      4.70     16.56  1 
 52713.968       2.70      4.39     16.55  2 
 52716.909      -5.33      4.47     17.07  1 
 52720.939       6.23      5.72     16.69  2 
 52723.881      -3.36      3.88     17.19  1 
 52727.911       1.40      5.51     17.59  2 
 52730.722      -2.28      4.95     17.40  1 
 52734.553      -5.53      4.13     16.60  2 
 52737.693      -1.25      3.76     16.66  1 
 52741.655       1.29      5.54     17.09  2 
 52745.717      -0.18      4.67     16.64  1 
 52747.841      -8.14      4.11     16.98  2 
 52751.837      -3.25      3.69     16.51  1 
 52755.212      -2.95      5.48     16.92  2 
 52758.876      -1.58      3.36     16.67  1 
 52761.986       1.68      4.55     16.47  2 
 52764.795      -0.52      3.58     16.79  1 
 52772.620      -4.22      3.69     16.70  1 
 52776.584       1.70      5.37     16.56  2 
 52779.721      -1.22      4.09     17.06  1 
 52783.421     -10.48      3.95     17.42  2 
 52786.493      -6.41      4.63     16.90  1 
 52790.586       2.46      4.22     16.92  2 
 52793.528       1.99      3.45     16.84  1 
 52796.571       1.69      4.11     16.82  2 
 52823.664       1.47      4.41     16.74  2 
 52826.539       4.90      3.64     16.56  1 
